title,url,first_author,authors,year,publisher,cited_by,query
"Lesion detection, segmentation and prediction in multiple sclerosis clinical trials",https://link.springer.com/chapter/10.1007/978-3-319-75238-9_2,A Doyle,"A Doyle, C Elliott, Z Karimaghaloo, N Subbanna…",2018,Springer,12,multiple sclerosis MRI segmentation
Fully automated segmentation of multiple sclerosis lesions in multispectral MRI,https://link.springer.com/article/10.1134/S1054661808020235,M Wels,"M Wels, M Huber, J Hornegger",2008,Springer,23,multiple sclerosis MRI segmentation
Semi-supervised deep learning of brain tissue segmentation,https://www.sciencedirect.com/science/article/pii/S0893608019300954,R Ito,"R Ito, K Nakae, J Hata, H Okano, S Ishii",2019,Elsevier,59,small brain tissue segmentation deep learning
Evaluation of a deep learning approach for the segmentation of brain tissues and white matter hyperintensities of presumed vascular origin in MRI,https://www.sciencedirect.com/science/article/pii/S2213158217302486,P Moeskops,"P Moeskops, J de Bresser, HJ Kuijf, AM Mendrik…",2018,Elsevier,116,small brain tissue segmentation deep learning
Deep‐learning‐based neural tissue segmentation of MRI in multiple sclerosis: effect of training set size,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.26959,PA Narayana,"PA Narayana, I Coronado, SJ Sujit…",2020,Wiley Online Library,33,small brain tissue segmentation deep learning
Automated multiclass tissue segmentation of clinical brain MRIs with lesions,https://www.sciencedirect.com/science/article/pii/S2213158221002138,DA Weiss,"DA Weiss, R Saluja, L Xie, JC Gee, LP Sugrue…",2021,Elsevier,11,small brain tissue segmentation deep learning
Deep learning for brain metastasis detection and segmentation in longitudinal MRI data,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.15863,Y Huang,"Y Huang, C Bert, P Sommer, B Frey, U Gaipl…",2022,Wiley Online Library,19,small brain tissue segmentation deep learning
Deep learning from MRI-derived labels enables automatic brain tissue classification on human brain CT,https://www.sciencedirect.com/science/article/pii/S105381192100879X,M Srikrishna,"M Srikrishna, JB Pereira, RA Heckemann, G Volpe…",2021,Elsevier,14,small brain tissue segmentation deep learning
Two-Stage Deep Learning Segmentation for Tiny Brain Regions,https://link.springer.com/chapter/10.1007/978-981-99-8558-6_15,Y Ren,"Y Ren, X Zheng, R Ji, J Chen",2023,Springer,0,small brain tissue segmentation deep learning
Minimizing the effect of white matter lesions on deep learning based tissue segmentation for brain volumetry,https://www.sciencedirect.com/science/article/pii/S0895611122001276,A Clèrigues,"A Clèrigues, S Valverde, J Salvi, A Oliver…",2023,Elsevier,2,small brain tissue segmentation deep learning
Multi-task learning for small brain tumor segmentation from MRI,https://www.mdpi.com/2076-3417/10/21/7790,DK Ngo,"DK Ngo, MT Tran, SH Kim, HJ Yang, GS Lee",2020,mdpi.com,29,small brain tissue segmentation deep learning
Deep Learning-Based Multiclass Brain Tissue Segmentation in Fetal MRIs,https://www.mdpi.com/1424-8220/23/2/655,X Huang,"X Huang, Y Liu, Y Li, K Qi, A Gao, B Zheng, D Liang…",2023,mdpi.com,3,small brain tissue segmentation deep learning
Multimodal infant brain segmentation by fuzzy-informed deep learning,https://ieeexplore.ieee.org/abstract/document/9328318/,W Ding,"W Ding, M Abdel ,Basset, H Hawash…",2021,ieeexplore.ieee.org,31,small brain tissue segmentation deep learning
A deep dense residual network with reduced parameters for volumetric brain tissue segmentation from MR images,https://www.sciencedirect.com/science/article/pii/S1746809421006601,R Basnet,"R Basnet, MO Ahmad, MNS Swamy",2021,Elsevier,10,small brain tissue segmentation deep learning
Automatic brain tissue segmentation in fetal MRI using convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S0730725X18306106,N Khalili,"N Khalili, N Lessmann, E Turk, N Claessens…",2019,Elsevier,112,small brain tissue segmentation deep learning
Deep learning for brain MRI segmentation: state of the art and future directions,https://link.springer.com/article/10.1007/s10278-017-9983-4,Z Akkus,"Z Akkus, A Galimzianova, A Hoogi, DL Rubin…",2017,Springer,1048,small brain tissue segmentation deep learning
Deep learning trends for focal brain pathology segmentation in MRI,https://link.springer.com/chapter/10.1007/978-3-319-50478-0_6,M Havaei,"M Havaei, N Guizard, H Larochelle…",2016,Springer,109,small brain tissue segmentation deep learning
State-of-the-art methods for brain tissue segmentation: A review,https://ieeexplore.ieee.org/abstract/document/7948739/,L Dora,"L Dora, S Agrawal, R Panda…",2017,ieeexplore.ieee.org,100,small brain tissue segmentation deep learning
Using a patch-wise m-net convolutional neural network for tissue segmentation in brain mri images,https://ieeexplore.ieee.org/abstract/document/9130719/,N Yamanakkanavar,"N Yamanakkanavar, B Lee",2020,ieeexplore.ieee.org,26,small brain tissue segmentation deep learning
Deep learning for brain tumor segmentation: a survey of state-of-the-art,https://www.mdpi.com/2313-433X/7/2/19,T Magadza,"T Magadza, S Viriri",2021,mdpi.com,109,small brain tissue segmentation deep learning
Deep learning in the small sample size setting: cascaded feed forward neural networks for medical image segmentation,https://www.spiedigitallibrary.org/conference-proceedings-of-spie/9785/97852I/Deep-learning--in-the-small-sample-size-setting/10.1117/12.2216555.short,B Gaonkar,"B Gaonkar, D Hovda, N Martin…",2016,spiedigitallibrary.org,41,small brain tissue segmentation deep learning
A fully automated deep learning network for brain tumor segmentation,https://www.mdpi.com/2379-139X/6/2/186,CGB Yogananda,"CGB Yogananda, BR Shah, M Vejdani ,Jahromi…",2020,mdpi.com,62,small brain tissue segmentation deep learning
Review of MRI-based brain tumor image segmentation using deep learning methods,https://www.sciencedirect.com/science/article/pii/S187705091632587X,A Işın,"A Işın, C Direkoğlu, M Şah",2016,Elsevier,721,small brain tissue segmentation deep learning
Brain Tissue Segmentation via Deep Convolutional Neural Networks,https://ieeexplore.ieee.org/abstract/document/9640635/,T Bikku,"T Bikku, J Karthik, GRK Rao, KS Sree…",2021,ieeexplore.ieee.org,6,small brain tissue segmentation deep learning
Convolutional neural networks for rapid and simultaneous brain extraction and tissue segmentation,https://link.springer.com/protocol/10.1007/978-1-4939-7647-8_2,NC Cullen,"NC Cullen, BB Avants",2018,Springer,10,small brain tissue segmentation deep learning
A deep learning pipeline for automatic skull stripping and brain segmentation,https://ieeexplore.ieee.org/abstract/document/8759465/,CGB Yogananda,"CGB Yogananda, BC Wagner…",2019,ieeexplore.ieee.org,22,small brain tissue segmentation deep learning
MRI segmentation and classification of human brain using deep learning for diagnosis of Alzheimer's disease: a survey,https://www.mdpi.com/1424-8220/20/11/3243,N Yamanakkanavar,"N Yamanakkanavar, JY Choi, B Lee",2020,mdpi.com,135,small brain tissue segmentation deep learning
Brain tumor segmentation and grading of lower-grade glioma using deep learning in MRI images,https://www.sciencedirect.com/science/article/pii/S0010482520301335,MA Naser,"MA Naser, MJ Deen",2020,Elsevier,240,small brain tissue segmentation deep learning
Deep learning for hemorrhagic lesion detection and segmentation on brain CT images,https://ieeexplore.ieee.org/abstract/document/9210782/,L Li,"L Li, M Wei, B Liu, K Atchaneeyasakul…",2020,ieeexplore.ieee.org,87,small brain tissue segmentation deep learning
Learning U-net based multi-scale features in encoding-decoding for mr image brain tissue segmentation,https://www.mdpi.com/1424-8220/21/9/3232,JS Long,"JS Long, GZ Ma, EM Song, RC Jin",2021,mdpi.com,10,small brain tissue segmentation deep learning
Quantitative analysis of patch-based fully convolutional neural networks for tissue segmentation on brain magnetic resonance imaging,https://ieeexplore.ieee.org/abstract/document/8754679/,J Bernal,"J Bernal, K Kushibar, M Cabezas, S Valverde…",2019,ieeexplore.ieee.org,50,small brain tissue segmentation deep learning
3D Dense-U-Net for MRI brain tissue segmentation,https://ieeexplore.ieee.org/abstract/document/8441508/,M Kolařík,"M Kolařík, R Burget, V Uher…",2018,ieeexplore.ieee.org,11,small brain tissue segmentation deep learning
A neural network based deep learning approach for efficient segmentation of brain tumor medical image data,https://content.iospress.com/articles/journal-of-intelligent-and-fuzzy-systems/ifs169980,A Veeramuthu,"A Veeramuthu, S Meenakshi…",2019,content.iospress.com,35,small brain tissue segmentation deep learning
A 3D spatially weighted network for segmentation of brain tissue from MRI,https://ieeexplore.ieee.org/abstract/document/8811612/,L Sun,"L Sun, W Ma, X Ding, Y Huang…",2019,ieeexplore.ieee.org,57,small brain tissue segmentation deep learning
Znet: deep learning approach for 2D MRI brain tumor segmentation,https://ieeexplore.ieee.org/abstract/document/9779760/,MA Ottom,"MA Ottom, HA Rahman, ID Dinov",2022,ieeexplore.ieee.org,39,small brain tissue segmentation deep learning
Deep learning models and traditional automated techniques for brain tumor segmentation in MRI: a review,https://link.springer.com/article/10.1007/s10462-022-10245-x,P Jyothi,"P Jyothi, AR Singh",2023,Springer,21,small brain tissue segmentation deep learning
Fully automated MR detection and segmentation of brain metastases in non‐small cell lung cancer using deep learning,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.27741,ST Jünger,"ST Jünger, UCI Hoyer, D Schaufler…",2021,Wiley Online Library,25,small brain tissue segmentation deep learning
Deep learning enables automatic detection and segmentation of brain metastases on multisequence MRI,https://onlinelibrary.wiley.com/doi/abs/10.1002/jmri.26766,E Grøvik,"E Grøvik, D Yi, M Iv, E Tong, D Rubin…",2020,Wiley Online Library,194,small brain tissue segmentation deep learning
Robust 3D convolutional neural network with boundary correction for accurate brain tissue segmentation,https://ieeexplore.ieee.org/abstract/document/8543143/,B Hou,"B Hou, G Kang, N Zhang, C Hu",2018,ieeexplore.ieee.org,11,small brain tissue segmentation deep learning
Deep learning for multi-task medical image segmentation in multiple modalities,https://link.springer.com/chapter/10.1007/978-3-319-46723-8_55,P Moeskops,"P Moeskops, JM Wolterink…",2016,Springer,399,small brain tissue segmentation deep learning
Deep learning model integrating features and novel classifiers fusion for brain tumor segmentation,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jemt.23281,S Iqbal,"S Iqbal, MU Ghani Khan, T Saba…",2019,Wiley Online Library,132,small brain tissue segmentation deep learning
Segmentation of tau stained Alzheimers brain tissue using convolutional neural networks,https://ieeexplore.ieee.org/abstract/document/9175832/,A Wurts,"A Wurts, DH Oakley, BT Hyman…",2020,ieeexplore.ieee.org,11,small brain tissue segmentation deep learning
Deep learning–based detection and segmentation-assisted management of brain metastases,https://academic.oup.com/neuro-oncology/article-abstract/22/4/505/5684915,J Xue,"J Xue, B Wang, Y Ming, X Liu, Z Jiang, C Wang…",2020,academic.oup.com,83,small brain tissue segmentation deep learning
Deep learning based brain tumor segmentation: a survey,https://link.springer.com/article/10.1007/s40747-022-00815-5,Z Liu,"Z Liu, L Tong, L Chen, Z Jiang, F Zhou, Q Zhang…",2023,Springer,131,small brain tissue segmentation deep learning
Machine learning based brain tumour segmentation on limited data using local texture and abnormality,https://www.sciencedirect.com/science/article/pii/S0010482518301124,S Bonte,"S Bonte, I Goethals, R Van Holen",2018,Elsevier,64,small brain tissue segmentation deep learning
"MR images, brain lesions, and deep learning",https://www.mdpi.com/2076-3417/11/4/1675,D Castillo,"D Castillo, V Lakshminarayanan…",2021,mdpi.com,23,small brain tissue segmentation deep learning
Deep learning for automated brain tumor segmentation in mri images,https://www.sciencedirect.com/science/article/pii/B9780128130872000105,RR Agravat,"RR Agravat, MS Raval",2018,Elsevier,39,small brain tissue segmentation deep learning
A deep learning approach to segmentation of the developing cortex in fetal brain MRI with minimal manual labeling,http://proceedings.mlr.press/v121/fetit20a.html,AE Fetit,"AE Fetit, A Alansary…",2020,proceedings.mlr.press,12,small brain tissue segmentation deep learning
Deep learning model for brain tumor segmentation & analysis,https://ieeexplore.ieee.org/abstract/document/8979076/,ES Chahal,"ES Chahal, A Haritosh, A Gupta…",2019,ieeexplore.ieee.org,11,small brain tissue segmentation deep learning
Evaluating deep learning methods in detecting and segmenting different sizes of brain metastases on 3D post-contrast T1-weighted images,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-8/issue-3/037001/Evaluating-deep-learning-methods-in-detecting-and-segmenting-different-sizes/10.1117/1.JMI.8.3.037001.short,Y Yoo,"Y Yoo, P Ceccaldi, S Liu, TJ Re, Y Cao…",2021,spiedigitallibrary.org,11,small brain tissue segmentation deep learning
A deep learning model integrating FCNNs and CRFs for brain tumor segmentation,https://www.sciencedirect.com/science/article/pii/S136184151730141X,X Zhao,"X Zhao, Y Wu, G Song, Z Li, Y Zhang, Y Fan",2018,Elsevier,731,small brain tissue segmentation deep learning
Deep learning for brain MRI segmentation: state of the art and future directions,https://link.springer.com/article/10.1007/s10278-017-9983-4,Z Akkus,"Z Akkus, A Galimzianova, A Hoogi, DL Rubin…",2017,Springer,1048,brain leisions segmentation deep learning
"MR images, brain lesions, and deep learning",https://www.mdpi.com/2076-3417/11/4/1675,D Castillo,"D Castillo, V Lakshminarayanan…",2021,mdpi.com,23,brain leisions segmentation deep learning
Deep learning for hemorrhagic lesion detection and segmentation on brain CT images,https://ieeexplore.ieee.org/abstract/document/9210782/,L Li,"L Li, M Wei, B Liu, K Atchaneeyasakul…",2020,ieeexplore.ieee.org,87,brain leisions segmentation deep learning
DeepLesionBrain: Towards a broader deep-learning generalization for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S1361841521003571,RA Kamraoui,"RA Kamraoui, VT Ta, T Tourdias, B Mansencal…",2022,Elsevier,28,brain leisions segmentation deep learning
Review of deep learning approaches for the segmentation of multiple sclerosis lesions on brain MRI,https://www.frontiersin.org/articles/10.3389/fninf.2020.610967/full,C Zeng,"C Zeng, L Gu, Z Liu, S Zhao",2020,frontiersin.org,60,brain leisions segmentation deep learning
Evaluation of a deep learning approach for the segmentation of brain tissues and white matter hyperintensities of presumed vascular origin in MRI,https://www.sciencedirect.com/science/article/pii/S2213158217302486,P Moeskops,"P Moeskops, J de Bresser, HJ Kuijf, AM Mendrik…",2018,Elsevier,116,brain leisions segmentation deep learning
Interinstitutional portability of a deep learning brain MRI lesion segmentation algorithm,https://pubs.rsna.org/doi/abs/10.1148/ryai.2021200152,AM Rauschecker,"AM Rauschecker, TJ Gleason, P Nedelec…",2021,pubs.rsna.org,22,brain leisions segmentation deep learning
Deep learning for segmentation of brain tumors: Impact of cross‐institutional training and testing,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.12752,EA AlBadawy,"EA AlBadawy, A Saha, MA Mazurowski",2018,Wiley Online Library,194,brain leisions segmentation deep learning
Deep learning trends for focal brain pathology segmentation in MRI,https://link.springer.com/chapter/10.1007/978-3-319-50478-0_6,M Havaei,"M Havaei, N Guizard, H Larochelle…",2016,Springer,109,brain leisions segmentation deep learning
Review of MRI-based brain tumor image segmentation using deep learning methods,https://www.sciencedirect.com/science/article/pii/S187705091632587X,A Işın,"A Işın, C Direkoğlu, M Şah",2016,Elsevier,721,brain leisions segmentation deep learning
Fully automated detection and segmentation of meningiomas using deep learning on routine multiparametric MRI,https://link.springer.com/article/10.1007/s00330-018-5595-8,KR Laukamp,"KR Laukamp, F Thiele, G Shakirin, D Zopfs…",2019,Springer,175,brain leisions segmentation deep learning
Multiclass semantic segmentation and quantification of traumatic brain injury lesions on head CT using deep learning: an algorithm development and …,https://www.thelancet.com/journals/landig/article/PIIS2589-7500(20)30085-6/fulltext?ref=https://githubhelp.com,M Monteiro,"M Monteiro, VFJ Newcombe, F Mathieu…",2020,thelancet.com,94,brain leisions segmentation deep learning
Deep learning with mixed supervision for brain tumor segmentation,https://www.spiedigitallibrary.org/journals/Journal-of-Medical-Imaging/volume-6/issue-3/034002/Deep-learning-with-mixed-supervision-for-brain-tumor-segmentation/10.1117/1.JMI.6.3.034002.short,P Mlynarski,"P Mlynarski, H Delingette, A Criminisi…",2019,spiedigitallibrary.org,130,brain leisions segmentation deep learning
Deep learning for segmentation of brain tumors: Impact of cross‐institutional training and testing,https://aapm.onlinelibrary.wiley.com/doi/abs/10.1002/mp.12752,EA AlBadawy,"EA AlBadawy, A Saha, MA Mazurowski",2018,Wiley Online Library,194,brain leisions segmentation deep learning
Deep learning model integrating features and novel classifiers fusion for brain tumor segmentation,https://analyticalsciencejournals.onlinelibrary.wiley.com/doi/abs/10.1002/jemt.23281,S Iqbal,"S Iqbal, MU Ghani Khan, T Saba…",2019,Wiley Online Library,132,brain leisions segmentation deep learning
Multiple sclerosis cortical and WM lesion segmentation at 3T MRI: a deep learning method based on FLAIR and MP2RAGE,https://www.sciencedirect.com/science/article/pii/S2213158220301728,F La Rosa,"F La Rosa, A Abdulkadir, MJ Fartaria…",2020,Elsevier,84,brain leisions segmentation deep learning
A convolutional neural network approach to brain tumor segmentation,https://link.springer.com/chapter/10.1007/978-3-319-30858-6_17,M Havaei,"M Havaei, F Dutil, C Pal, H Larochelle…",2016,Springer,121,brain leisions segmentation deep learning
White matter hyperintensity and stroke lesion segmentation and differentiation using convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S2213158217303273,R Guerrero,"R Guerrero, C Qin, O Oktay, C Bowles, L Chen…",2018,Elsevier,208,brain leisions segmentation deep learning
Semisupervised learning using denoising autoencoders for brain lesion detection and segmentation,https://www.spiedigitallibrary.org/journals/journal-of-medical-imaging/volume-4/issue-4/041311/Semisupervised-learning-using-denoising-autoencoders-for-brain-lesion-detection-and/10.1117/1.JMI.4.4.041311.short,V Alex,"V Alex, K Vaidhya, S Thirunavukkarasu…",2017,spiedigitallibrary.org,83,brain leisions segmentation deep learning
Automated detection and segmentation of brain metastases in malignant melanoma: evaluation of a dedicated deep learning model,https://www.ajnr.org/content/42/4/655.abstract,L Pennig,"L Pennig, R Shahzad, L Caldeira…",2021,Am Soc Neuroradiology,27,brain leisions segmentation deep learning
A multi-path 2.5 dimensional convolutional neural network system for segmenting stroke lesions in brain MRI images,https://www.sciencedirect.com/science/article/pii/S2213158219304656,Y Xue,"Y Xue, FG Farhat, O Boukrina, AM Barrett, JR Binder…",2020,Elsevier,70,brain leisions segmentation deep learning
Brain lesion segmentation through image synthesis and outlier detection,https://www.sciencedirect.com/science/article/pii/S2213158217302164,C Bowles,"C Bowles, C Qin, R Guerrero, R Gunn, A Hammers…",2017,Elsevier,55,brain leisions segmentation deep learning
Segmentation of glioma tumors in brain using deep convolutional neural network,https://www.sciencedirect.com/science/article/pii/S0925231217318763,S Hussain,"S Hussain, SM Anwar, M Majid",2018,Elsevier,231,brain leisions segmentation deep learning
Skin lesion segmentation in clinical images using deep learning,https://ieeexplore.ieee.org/abstract/document/7899656/,MH Jafari,"MH Jafari, N Karimi, E Nasr ,Esfahani…",2016,ieeexplore.ieee.org,200,brain leisions segmentation deep learning
Multiple sclerosis lesion segmentation from brain MRI via fully convolutional neural networks,https://arxiv.org/abs/1803.09172,S Roy,"S Roy, JA Butman, DS Reich, PA Calabresi…",2018,arxiv.org,91,brain leisions segmentation deep learning
A new approach for brain tumor segmentation and classification based on score level fusion using transfer learning,https://link.springer.com/article/10.1007/s10916-019-1453-8,J Amin,"J Amin, M Sharif, M Yasmin, T Saba, MA Anjum…",2019,Springer,128,brain leisions segmentation deep learning
Multi-branch convolutional neural network for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S105381191930268X,S Aslani,"S Aslani, M Dayan, L Storelli, M Filippi, V Murino…",2019,Elsevier,145,brain leisions segmentation deep learning
Efficient multi-scale 3D CNN with fully connected CRF for accurate brain lesion segmentation,https://www.sciencedirect.com/science/article/pii/S1361841516301839,K Kamnitsas,"K Kamnitsas, C Ledig, VFJ Newcombe…",2017,Elsevier,3373,brain leisions segmentation deep learning
Brain tumor segmentation based on deep learning and an attention mechanism using MRI multi-modalities brain images,https://www.nature.com/articles/s41598-021-90428-8,R Ranjbarzadeh,"R Ranjbarzadeh, A Bagherian Kasgari…",2021,nature.com,302,brain leisions segmentation deep learning
Deep autoencoding models for unsupervised anomaly segmentation in brain MR images,https://link.springer.com/chapter/10.1007/978-3-030-11723-8_16,C Baur,"C Baur, B Wiestler, S Albarqouni, N Navab",2019,Springer,499,brain leisions segmentation deep learning
Brain and lesion segmentation in multiple sclerosis using fully convolutional neural networks: A large-scale study,https://journals.sagepub.com/doi/abs/10.1177/1352458519856843,RE Gabr,"RE Gabr, I Coronado, M Robinson…",2020,journals.sagepub.com,72,brain leisions segmentation deep learning
Acute ischemic stroke lesion core segmentation in CT perfusion images using fully convolutional neural networks,https://www.sciencedirect.com/science/article/pii/S0010482519303555,A Clerigues,"A Clerigues, S Valverde, J Bernal, J Freixenet…",2019,Elsevier,92,brain leisions segmentation deep learning
"Identifying the best machine learning algorithms for brain tumor segmentation, progression assessment, and overall survival prediction in the BRATS challenge",https://arxiv.org/abs/1811.02629,S Bakas,"S Bakas, M Reyes, A Jakab, S Bauer…",2018,arxiv.org,1666,brain leisions segmentation deep learning
Semi-supervised brain lesion segmentation with an adapted mean teacher model,https://link.springer.com/chapter/10.1007/978-3-030-20351-1_43,W Cui,"W Cui, Y Liu, Y Li, M Guo, Y Li, X Li, T Wang…",2019,Springer,170,brain leisions segmentation deep learning
Medical image segmentation using deep learning: a survey,https://www.academia.edu/download/103692629/2009.13120v1.pdf,T Lei,"T Lei, R Wang, Y Wan, B Zhang, H Meng…",2020,academia.edu,17,brain leisions segmentation deep learning
Automated segmentation of hyperintense regions in FLAIR MRI using deep learning,https://www.mdpi.com/2379-139X/2/4/334,P Korfiatis,"P Korfiatis, TL Kline, BJ Erickson",2016,mdpi.com,70,brain leisions segmentation deep learning
Neuroimaging and deep learning for brain stroke detection-A review of recent advancements and future prospects,https://www.sciencedirect.com/science/article/pii/S0169260720315613,R Karthik,"R Karthik, R Menaka, A Johnson, S Anand",2020,Elsevier,61,brain leisions segmentation deep learning
Clinical evaluation of a multiparametric deep learning model for glioblastoma segmentation using heterogeneous magnetic resonance imaging data from …,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7598095/,M Perkuhn,"M Perkuhn, P Stavrinou, F Thiele, G Shakirin…",2018,ncbi.nlm.nih.gov,74,brain leisions segmentation deep learning
Acute and sub-acute stroke lesion segmentation from multimodal MRI,https://www.sciencedirect.com/science/article/pii/S0169260719305899,A Clèrigues,"A Clèrigues, S Valverde, J Bernal, J Freixenet…",2020,Elsevier,67,brain leisions segmentation deep learning
A deep learning model integrating SK-TPCNN and random forests for brain tumor segmentation in MRI,https://www.sciencedirect.com/science/article/pii/S0208521618303292,T Yang,"T Yang, J Song, L Li",2019,Elsevier,70,brain leisions segmentation deep learning
Active deep neural network features selection for segmentation and recognition of brain tumors using MRI images,https://www.sciencedirect.com/science/article/pii/S0167865519303411,MI Sharif,"MI Sharif, JP Li, MA Khan, MA Saleem",2020,Elsevier,243,brain leisions segmentation deep learning
Unsupervised domain adaptation in brain lesion segmentation with adversarial networks,https://link.springer.com/chapter/10.1007/978-3-319-59050-9_47,K Kamnitsas,"K Kamnitsas, C Baumgartner, C Ledig…",2017,Springer,536,brain leisions segmentation deep learning
A deep supervised approach for ischemic lesion segmentation from multimodal MRI using Fully Convolutional Network,https://www.sciencedirect.com/science/article/pii/S1568494619304661,R Karthik,"R Karthik, U Gupta, A Jha, R Rajalakshmi…",2019,Elsevier,56,brain leisions segmentation deep learning
Voxresnet: Deep voxelwise residual networks for volumetric brain segmentation,https://arxiv.org/abs/1608.05895,H Chen,"H Chen, Q Dou, L Yu, PA Heng",2016,arxiv.org,153,brain leisions segmentation deep learning
Ensembles of multiple models and architectures for robust brain tumour segmentation,https://link.springer.com/chapter/10.1007/978-3-319-75238-9_38,K Kamnitsas,"K Kamnitsas, W Bai, E Ferrante, S McDonagh…",2018,Springer,521,brain leisions segmentation deep learning
Automatic detection and segmentation of brain metastases on multimodal MR images with a deep convolutional neural network,https://www.sciencedirect.com/science/article/pii/S0010482518300325,O Charron,"O Charron, A Lallement, D Jarnet, V Noblet…",2018,Elsevier,246,brain leisions segmentation deep learning
Automatic lesion detection and segmentation of 18F-FET PET in gliomas: A full 3D U-Net convolutional neural network study,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0195798,P Blanc ,"P Blanc ,Durand, A Van Der Gucht, N Schaefer, E Itti…",2018,journals.plos.org,132,brain leisions segmentation deep learning
X-net: Brain stroke lesion segmentation based on depthwise separable convolution and long-range dependencies,https://link.springer.com/chapter/10.1007/978-3-030-32248-9_28,K Qi,"K Qi, H Yang, C Li, Z Liu, M Wang, Q Liu…",2019,Springer,138,brain leisions segmentation deep learning
Data augmentation for brain-tumor segmentation: a review,https://www.frontiersin.org/articles/10.3389/fncom.2019.00083/full,J Nalepa,"J Nalepa, M Marcinkiewicz, M Kawulok",2019,frontiersin.org,257,brain leisions segmentation deep learning
Brain tumor detection and classification using machine learning: a comprehensive survey,https://link.springer.com/article/10.1007/s40747-021-00563-y,J Amin,"J Amin, M Sharif, A Haldorai, M Yasmin…",2022,Springer,148,brain leisions segmentation deep learning
Multiple sclerosis lesions segmentation from multiple experts: The MICCAI 2016 challenge dataset,https://www.sciencedirect.com/science/article/pii/S1053811921008624,O Commowick,"O Commowick, M Kain, R Casey, R Ameli, JC Ferré…",2021,Elsevier,29,multiple sclerosis segmentation dataset
Simultaneous lesion and brain segmentation in multiple sclerosis using deep neural networks,https://www.nature.com/articles/s41598-020-79925-4,R McKinley,"R McKinley, R Wepfer, F Aschwanden, L Grunder…",2021,nature.com,44,multiple sclerosis segmentation dataset
Multi-branch convolutional neural network for multiple sclerosis lesion segmentation,https://www.sciencedirect.com/science/article/pii/S105381191930268X,S Aslani,"S Aslani, M Dayan, L Storelli, M Filippi, V Murino…",2019,Elsevier,145,multiple sclerosis segmentation dataset
Improving automated multiple sclerosis lesion segmentation with a cascaded 3D convolutional neural network approach,https://www.sciencedirect.com/science/article/pii/S1053811917303270,S Valverde,"S Valverde, M Cabezas, E Roura, S González ,Villà…",2017,Elsevier,359,multiple sclerosis segmentation dataset
A toolbox for multiple sclerosis lesion segmentation,https://link.springer.com/article/10.1007/s00234-015-1552-2,E Roura,"E Roura, A Oliver, M Cabezas, S Valverde, D Pareto…",2015,Springer,105,multiple sclerosis segmentation dataset
A novel public MR image dataset of multiple sclerosis patients with lesion segmentations based on multi-rater consensus,https://link.springer.com/article/10.1007/s12021-017-9348-7,Ž Lesjak,"Ž Lesjak, A Galimzianova, A Koren, M Lukin, F Pernuš…",2018,Springer,99,multiple sclerosis segmentation dataset
Automatic and Robust Segmentation of Multiple Sclerosis Lesions with Convolutional Neural Networks.,https://www.researchgate.net/profile/H-M-Rehan-Afzal-2/publication/345262073_Automatic_and_Robust_Segmentation_of_Multiple_Sclerosis_Lesions_with_Convolutional_Neural_Networks/links/5fa21eb9a6fdccfd7b9b74c0/Automatic-and-Robust-Segmentation-of-Multiple-Sclerosis-Lesions-with-Convolutional-Neural-Networks.pdf,HM Afzal,"HM Afzal, S Luo, S Ramadan…",2021,researchgate.net,16,multiple sclerosis segmentation dataset
Automatic segmentation and classification of multiple sclerosis in multichannel MRI,https://ieeexplore.ieee.org/abstract/document/5238795/,A Akselrod ,"A Akselrod ,Ballin, M Galun, JM Gomori…",2009,ieeexplore.ieee.org,103,multiple sclerosis segmentation dataset
Longitudinal multiple sclerosis lesion segmentation using multi-view convolutional neural networks,https://link.springer.com/chapter/10.1007/978-3-319-46976-8_7,A Birenbaum,"A Birenbaum, H Greenspan",2016,Springer,81,multiple sclerosis segmentation dataset
Brain and lesion segmentation in multiple sclerosis using fully convolutional neural networks: A large-scale study,https://journals.sagepub.com/doi/abs/10.1177/1352458519856843,RE Gabr,"RE Gabr, I Coronado, M Robinson…",2020,journals.sagepub.com,72,multiple sclerosis segmentation dataset
Automatic segmentation and volumetry of multiple sclerosis brain lesions from MR images,https://www.sciencedirect.com/science/article/pii/S2213158215000959,S Jain,"S Jain, DM Sima, A Ribbens, M Cambron…",2015,Elsevier,251,multiple sclerosis segmentation dataset
Multiple sclerosis lesion segmentation from brain MRI via fully convolutional neural networks,https://arxiv.org/abs/1803.09172,S Roy,"S Roy, JA Butman, DS Reich, PA Calabresi…",2018,arxiv.org,91,multiple sclerosis segmentation dataset
